PHI	R	NSTEPS
0.000000	0.100000	0
0.720000	0.100004	3
1.440000	0.100016	3
2.160000	0.100036	3
2.880000	0.100065	3
3.600000	0.100101	3
4.320000	0.100146	3
5.040000	0.100198	3
5.760000	0.100259	3
6.480000	0.100328	3
7.200000	0.100405	3
7.920000	0.100491	3
8.640000	0.100584	3
9.360000	0.100686	3
10.080000	0.100796	3
10.800000	0.100914	3
11.520000	0.101041	3
12.240000	0.101175	3
12.960000	0.101319	3
13.680000	0.101470	3
14.400000	0.101630	3
15.120000	0.101798	3
15.840000	0.101975	3
16.560000	0.102160	3
17.280000	0.102354	3
18.000000	0.102557	4
18.720000	0.102768	4
19.440000	0.102987	4
20.160000	0.103216	4
20.880000	0.103453	4
21.600000	0.103699	4
22.320000	0.103954	4
23.040000	0.104217	4
23.760000	0.104490	4
24.480000	0.104772	4
25.200000	0.105062	4
25.920000	0.105362	4
26.640000	0.105671	4
27.360000	0.105989	4
28.080000	0.106317	4
28.800000	0.106653	4
29.520000	0.107000	4
30.240000	0.107355	4
30.960000	0.107721	4
31.680000	0.108095	4
32.400000	0.108480	4
33.120000	0.108874	4
33.840000	0.109278	4
34.560000	0.109692	4
35.280000	0.110116	4
36.000000	0.110550	4
36.720000	0.110994	4
37.440000	0.111448	4
38.160000	0.111912	4
38.880000	0.112387	4
39.600000	0.112872	4
40.320000	0.113367	4
41.040000	0.113873	4
41.760000	0.114390	4
42.480000	0.114918	4
43.200000	0.115456	4
43.920000	0.116005	4
44.640000	0.116565	4
45.360000	0.117136	4
46.080000	0.117718	4
46.800000	0.118311	4
47.520000	0.118916	4
48.240000	0.119531	4
48.960000	0.120159	4
49.680000	0.120797	4
50.400000	0.121447	4
51.120000	0.122109	4
51.840000	0.122783	4
52.560000	0.123468	4
53.280000	0.124165	4
54.000000	0.124874	4
54.720000	0.125596	4
55.440000	0.126329	4
56.160000	0.127074	4
56.880000	0.127831	4
57.600000	0.128601	4
58.320000	0.129383	4
59.040000	0.130177	4
59.760000	0.130984	4
60.480000	0.131803	4
61.200000	0.132635	4
61.920000	0.133479	4
62.640000	0.134335	4
63.360000	0.135205	4
64.080000	0.136087	4
64.800000	0.136982	4
65.520000	0.137889	4
66.240000	0.138809	4
66.960000	0.139742	4
67.680000	0.140688	4
68.400000	0.141647	4
69.120000	0.142618	4
69.840000	0.143602	4
70.560000	0.144599	4
71.280000	0.145609	4
72.000000	0.146631	4
72.720000	0.147666	4
73.440000	0.148714	4
74.160000	0.149775	4
74.880000	0.150848	4
75.600000	0.151933	4
76.320000	0.153032	4
77.040000	0.154142	4
77.760000	0.155266	4
78.480000	0.156401	4
79.200000	0.157549	4
79.920000	0.158709	4
80.640000	0.159881	4
81.360000	0.161064	4
82.080000	0.162260	4
82.800000	0.163468	4
83.520000	0.164687	4
84.240000	0.165917	4
84.960000	0.167159	4
85.680000	0.168412	4
86.400000	0.169677	4
87.120000	0.170952	4
87.840000	0.172237	4
88.560000	0.173533	4
89.280000	0.174840	4
90.000000	0.176157	4
90.720000	0.177483	4
91.440000	0.178820	4
92.160000	0.180165	4
92.880000	0.181521	4
93.600000	0.182885	4
94.320000	0.184257	4
95.040000	0.185639	4
95.760000	0.187029	4
96.480000	0.188426	4
97.200000	0.189832	4
97.920000	0.191245	4
98.640000	0.192665	4
99.360000	0.194092	4
100.080000	0.195525	4
100.800000	0.196965	4
101.520000	0.198411	4
102.240000	0.199862	4
102.960000	0.201319	4
103.680000	0.202780	4
104.400000	0.204247	4
105.120000	0.205717	4
105.840000	0.207192	4
106.560000	0.208670	4
107.280000	0.210151	4
108.000000	0.211635	4
108.720000	0.213122	4
109.440000	0.214611	4
110.160000	0.216101	4
110.880000	0.217593	4
111.600000	0.219086	5
112.320000	0.220579	5
113.040000	0.222073	5
113.760000	0.223566	5
114.480000	0.225059	5
115.200000	0.226551	5
115.920000	0.228041	5
116.640000	0.229529	5
117.360000	0.231016	5
118.080000	0.232500	5
118.800000	0.233980	5
119.520000	0.235458	5
120.240000	0.236931	5
120.960000	0.238400	5
121.680000	0.239865	5
122.400000	0.241324	5
123.120000	0.242778	5
123.840000	0.244226	5
124.560000	0.245668	5
125.280000	0.247103	5
126.000000	0.248531	5
126.720000	0.249951	5
127.440000	0.251364	5
128.160000	0.252768	5
128.880000	0.254163	5
129.600000	0.255550	5
130.320000	0.256926	5
131.040000	0.258293	5
131.760000	0.259650	5
132.480000	0.260995	5
133.200000	0.262330	5
133.920000	0.263653	5
134.640000	0.264965	5
135.360000	0.266264	5
136.080000	0.267550	5
136.800000	0.268824	5
137.520000	0.270084	5
138.240000	0.271331	5
138.960000	0.272563	5
139.680000	0.273781	5
140.400000	0.274984	5
141.120000	0.276172	5
141.840000	0.277345	5
142.560000	0.278502	5
143.280000	0.279642	5
144.000000	0.280767	5
144.720000	0.281874	5
145.440000	0.282964	5
146.160000	0.284037	5
146.880000	0.285093	5
147.600000	0.286130	5
148.320000	0.287149	5
149.040000	0.288149	5
149.760000	0.289130	5
150.480000	0.290093	5
151.200000	0.291035	5
151.920000	0.291959	5
152.640000	0.292862	4
153.360000	0.293745	4
154.080000	0.294607	4
154.800000	0.295449	4
155.520000	0.296269	4
156.240000	0.297069	4
156.960000	0.297847	4
157.680000	0.298603	4
158.400000	0.299338	4
159.120000	0.300051	4
159.840000	0.300741	4
160.560000	0.301409	4
161.280000	0.302054	4
162.000000	0.302676	4
162.720000	0.303276	4
163.440000	0.303852	4
164.160000	0.304405	4
164.880000	0.304934	4
165.600000	0.305440	4
166.320000	0.305922	4
167.040000	0.306380	4
167.760000	0.306814	4
168.480000	0.307224	4
169.200000	0.307610	4
169.920000	0.307971	4
170.640000	0.308308	4
171.360000	0.308620	4
172.080000	0.308907	4
172.800000	0.309170	4
173.520000	0.309408	4
174.240000	0.309621	4
174.960000	0.309810	4
175.680000	0.309973	4
176.400000	0.310111	4
177.120000	0.310224	4
177.840000	0.310312	4
178.560000	0.310375	4
179.280000	0.310413	4
180.000000	0.310425	4
180.720000	0.310413	4
181.440000	0.310375	4
182.160000	0.310312	4
182.880000	0.310224	4
183.600000	0.310111	4
184.320000	0.309973	4
185.040000	0.309810	4
185.760000	0.309621	4
186.480000	0.309408	4
187.200000	0.309170	4
187.920000	0.308907	4
188.640000	0.308620	4
189.360000	0.308308	4
190.080000	0.307971	4
190.800000	0.307610	4
191.520000	0.307224	4
192.240000	0.306814	4
192.960000	0.306380	4
193.680000	0.305922	4
194.400000	0.305440	4
195.120000	0.304934	4
195.840000	0.304405	4
196.560000	0.303852	4
197.280000	0.303276	4
198.000000	0.302676	4
198.720000	0.302054	4
199.440000	0.301409	4
200.160000	0.300741	4
200.880000	0.300051	4
201.600000	0.299338	4
202.320000	0.298603	4
203.040000	0.297847	4
203.760000	0.297069	4
204.480000	0.296269	4
205.200000	0.295449	4
205.920000	0.294607	4
206.640000	0.293745	4
207.360000	0.292862	4
208.080000	0.291959	4
208.800000	0.291035	4
209.520000	0.290093	4
210.240000	0.289130	4
210.960000	0.288149	4
211.680000	0.287149	4
212.400000	0.286130	4
213.120000	0.285093	4
213.840000	0.284037	4
214.560000	0.282964	4
215.280000	0.281874	4
216.000000	0.280767	4
216.720000	0.279642	4
217.440000	0.278502	4
218.160000	0.277345	4
218.880000	0.276172	4
219.600000	0.274984	4
220.320000	0.273781	4
221.040000	0.272563	4
221.760000	0.271331	4
222.480000	0.270084	4
223.200000	0.268824	4
223.920000	0.267550	4
224.640000	0.266264	4
225.360000	0.264965	4
226.080000	0.263653	4
226.800000	0.262330	4
227.520000	0.260995	4
228.240000	0.259650	4
228.960000	0.258293	4
229.680000	0.256926	4
230.400000	0.255550	4
231.120000	0.254163	4
231.840000	0.252768	4
232.560000	0.251364	4
233.280000	0.249951	4
234.000000	0.248531	4
234.720000	0.247103	4
235.440000	0.245668	4
236.160000	0.244226	4
236.880000	0.242778	4
237.600000	0.241324	4
238.320000	0.239865	4
239.040000	0.238400	4
239.760000	0.236931	4
240.480000	0.235458	4
241.200000	0.233980	4
241.920000	0.232500	4
242.640000	0.231016	4
243.360000	0.229529	4
244.080000	0.228041	4
244.800000	0.226551	4
245.520000	0.225059	4
246.240000	0.223566	4
246.960000	0.222073	4
247.680000	0.220579	4
248.400000	0.219086	4
249.120000	0.217593	4
249.840000	0.216101	4
250.560000	0.214611	4
251.280000	0.213122	4
252.000000	0.211635	4
252.720000	0.210151	4
253.440000	0.208670	4
254.160000	0.207192	4
254.880000	0.205717	4
255.600000	0.204247	4
256.320000	0.202780	4
257.040000	0.201319	4
257.760000	0.199862	4
258.480000	0.198411	4
259.200000	0.196965	4
259.920000	0.195525	4
260.640000	0.194092	4
261.360000	0.192665	4
262.080000	0.191245	4
262.800000	0.189832	4
263.520000	0.188426	4
264.240000	0.187029	4
264.960000	0.185639	4
265.680000	0.184257	4
266.400000	0.182885	4
267.120000	0.181521	4
267.840000	0.180165	4
268.560000	0.178820	4
269.280000	0.177483	4
270.000000	0.176157	4
270.720000	0.174840	4
271.440000	0.173533	4
272.160000	0.172237	4
272.880000	0.170952	4
273.600000	0.169677	4
274.320000	0.168412	4
275.040000	0.167159	4
275.760000	0.165917	4
276.480000	0.164687	4
277.200000	0.163468	4
277.920000	0.162260	4
278.640000	0.161064	4
279.360000	0.159881	4
280.080000	0.158709	4
280.800000	0.157549	4
281.520000	0.156401	4
282.240000	0.155266	4
282.960000	0.154142	4
283.680000	0.153032	4
284.400000	0.151933	4
285.120000	0.150848	4
285.840000	0.149775	4
286.560000	0.148714	4
287.280000	0.147666	4
288.000000	0.146631	4
288.720000	0.145609	4
289.440000	0.144599	4
290.160000	0.143602	4
290.880000	0.142618	4
291.600000	0.141647	4
292.320000	0.140688	4
293.040000	0.139742	4
293.760000	0.138809	4
294.480000	0.137889	4
295.200000	0.136982	4
295.920000	0.136087	4
296.640000	0.135205	4
297.360000	0.134335	4
298.080000	0.133479	4
298.800000	0.132635	4
299.520000	0.131803	4
300.240000	0.130984	4
300.960000	0.130177	4
301.680000	0.129383	4
302.400000	0.128601	4
303.120000	0.127831	4
303.840000	0.127074	4
304.560000	0.126329	4
305.280000	0.125596	4
306.000000	0.124874	4
306.720000	0.124165	4
307.440000	0.123468	4
308.160000	0.122783	4
308.880000	0.122109	4
309.600000	0.121447	4
310.320000	0.120797	4
311.040000	0.120159	4
311.760000	0.119531	4
312.480000	0.118916	4
313.200000	0.118311	4
313.920000	0.117718	4
314.640000	0.117136	4
315.360000	0.116565	4
316.080000	0.116005	4
316.800000	0.115456	4
317.520000	0.114918	4
318.240000	0.114390	4
318.960000	0.113873	4
319.680000	0.113367	4
320.400000	0.112872	4
321.120000	0.112387	4
321.840000	0.111912	4
322.560000	0.111448	4
323.280000	0.110994	4
324.000000	0.110550	4
324.720000	0.110116	4
325.440000	0.109692	4
326.160000	0.109278	4
326.880000	0.108874	4
327.600000	0.108480	4
328.320000	0.108095	4
329.040000	0.107721	4
329.760000	0.107355	4
330.480000	0.107000	4
331.200000	0.106653	4
331.920000	0.106317	4
332.640000	0.105989	4
333.360000	0.105671	4
334.080000	0.105362	4
334.800000	0.105062	4
335.520000	0.104772	4
336.240000	0.104490	4
336.960000	0.104217	4
337.680000	0.103954	3
338.400000	0.103699	3
339.120000	0.103453	3
339.840000	0.103216	3
340.560000	0.102987	3
341.280000	0.102768	3
342.000000	0.102557	3
342.720000	0.102354	3
343.440000	0.102160	3
344.160000	0.101975	3
344.880000	0.101798	3
345.600000	0.101630	3
346.320000	0.101470	3
347.040000	0.101319	3
347.760000	0.101175	3
348.480000	0.101041	3
349.200000	0.100914	3
349.920000	0.100796	3
350.640000	0.100686	3
351.360000	0.100584	3
352.080000	0.100491	3
352.800000	0.100405	3
353.520000	0.100328	3
354.240000	0.100259	3
354.960000	0.100198	3
355.680000	0.100146	3
356.400000	0.100101	3
357.120000	0.100065	3
357.840000	0.100036	3
358.560000	0.100016	3
359.280000	0.100004	3
360.000000	0.100000	3
